,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
4544,-18.9,-15.6,-25,1004,80,1.02,10.9,3.5,13,80.0,Moderate
4545,-16.8,-13.9,-23.3,997.9,81,0,10.3,2.4,9.4,34.0,Good
4546,-15.6,-2.2,-23.9,1005.5,82,2.03,13.2,5,14.8,82.0,Moderate
4550,-21.4,-12.8,-26.1,1010.3,82,0,15.9,0.7,5.4,161.0,Unhealthy
4551,-17.5,-8.9,-25.6,1005.8,82,0,15.9,3.1,9.4,124.0,Unhealthy for Sensitive Groups
4552,-10.2,-5.6,-13.3,1002.7,79,0,12.6,4.6,24.1,32.0,Good
4556,-33.1,-20,-41.7,1021.7,-,0,14,2.4,13,98.0,Moderate
4557,-27.6,-15.6,-39.4,1003.3,75,0,16.1,9.4,16.5,70.0,Moderate
4558,-17.5,-15.6,-18.9,997.6,70,0.25,8.9,13.1,20.6,30.0,Good
4562,-24,-14.4,-29.4,1007.8,75,0,16.1,0.9,5.4,105.0,Unhealthy for Sensitive Groups
4563,-20.2,-8.3,-27.8,1007.9,70,0,16.1,1.7,9.4,136.0,Unhealthy for Sensitive Groups
4564,-16.3,-5,-25.6,998.6,72,0,16.1,5.9,14.8,93.0,Moderate
4567,-12.7,-2.2,-21.7,1002,72,0,13.8,1.9,9.4,27.0,Good
4568,-15.2,-9.4,-22.8,1017.8,79,2.03,12.1,0.6,7.6,86.0,Moderate
4569,-19.4,-8.3,-27.2,1023.9,76,0,16.1,1.5,5.4,112.0,Unhealthy for Sensitive Groups
4573,-14.9,0,-21.7,1009.5,72,0,16.1,5.6,14.8,78.0,Moderate
4574,-3.2,3.3,-10,998.9,64,0,16.1,7.2,14.8,74.0,Moderate
4575,-4.5,5.6,-9.4,1005.7,71,0,16.1,3.9,9.4,61.0,Moderate
4579,-18.4,-5,-29.4,1028.3,60,0,16.1,5.4,48.2,89.0,Moderate
4580,-16.7,-7.2,-26.7,1024.2,45,0,16.1,26.5,48.2,21.0,Good
4581,-16.8,-5,-26.7,1020.9,47,0,16.1,15.9,27.8,60.0,Moderate
4585,-15.9,-8.3,-26.7,1019.6,55,0,16.1,5.9,14.8,68.0,Moderate
4586,-19.1,-8.9,-27.8,1018.3,61,0,15.9,3.3,13,80.0,Moderate
4587,-14.7,-7.2,-25,1017.2,69,0,9,5.4,14.8,69.0,Moderate
4591,-14.7,-13.3,-16.1,1007.5,76,1.78,5.5,5.4,18.3,20.0,Good
4592,-16.4,-12.2,-20,1012.4,63,1.02,14,13.5,22.2,32.0,Good
4593,-24.1,-12.8,-34.4,1024.6,60,0,16.1,5,22.2,73.0,Moderate
4597,-2.2,3.9,-12.2,1023.4,58,0,16.1,1.7,9.4,56.0,Moderate
4599,-1,4.4,-8.9,1020.4,73,0,13.4,1.5,5.4,41.0,Good
4600,-3.4,4.4,-11.1,1020.1,60,0,16.1,10,22.2,26.0,Good
4601,-3.4,2.2,-9.4,1024.9,50,0,16.1,12.2,22.2,23.0,Good
4605,-13.1,-6.7,-16.7,1005.6,58,0,10.3,10.7,24.1,33.0,Good
4606,-17.6,-11.7,-27.8,1012.2,74,1.02,10.8,5.7,14.8,52.0,Moderate
4607,-12.2,-10.6,-13.9,995.8,79,2.79,3.5,5.6,18.3,21.0,Good
4611,-14,-5,-25,1029.8,55,0,16.1,3.3,11.1,61.0,Moderate
4612,-10.1,-2.8,-22.2,1033.9,54,0,14.8,4.4,13,55.0,Moderate
4613,-4.8,-0.6,-9.4,1034.2,57,0,15.8,10,22.2,30.0,Good
4617,-6.1,3.3,-15.6,1031.5,50,0,16.1,11.1,27.8,36.0,Good
4618,-3.1,6.1,-15,1029.9,40,0,16.1,2.2,9.4,35.0,Good
4619,-2.4,6.1,-13.9,1027.6,47,0,16.1,3.5,11.1,51.0,Moderate
4623,-1.8,6.1,-7.8,1017.9,44,2.29,16.1,16.9,24.1,29.0,Good
4624,-5.3,1.1,-13.9,1013.2,45,0,16.1,5.6,16.5,38.0,Good
4625,-3.1,0,-11.7,1010.2,62,0.51,14,11.9,29.4,34.0,Good
4630,-1.3,3.3,-3.9,1009.7,76,5.33,9.3,15.4,25.9,25.0,Good
4631,-2.5,1.7,-5.6,1008.8,58,1.27,15,13.5,24.1,29.0,Good
4632,0.9,3.3,-5,1012.4,64,0.76,11.1,11.9,18.3,26.0,Good
4636,1.6,6.7,-7.8,1023.6,46,0,16.1,8.1,18.3,42.0,Good
4637,2.5,9.4,-5.6,1024.7,46,0,16.1,6.9,18.3,31.0,Good
4638,5.3,12.8,-5.5,1027,41,0,16.1,7.6,14.8,27.0,Good
4642,2,11.7,-5.6,1002,39,0,16.1,17.4,25.9,16.0,Good
4643,-0.2,7.2,-4.4,1004.4,42,0,16.1,8,20.6,25.0,Good
4644,2.5,9,-3.9,1004.7,43,0,16.1,5.9,14.8,28.0,Good
4648,0.2,6.7,-5,1025.9,33,0,16.1,13,18.3,24.0,Good
4649,4.4,11.7,-3.2,1035.8,37,0,16.1,8.9,16.5,23.0,Good
4650,7.9,15.6,-2.7,1030.4,31,0,16.1,7.4,16.5,30.0,Good
4654,16.4,24.4,5,1014.5,33,0,16.1,5.9,13,20.0,Good
4655,17.6,26.1,6.1,1010.4,28,0,16.1,7,14.8,17.0,Good
4656,19.8,27.2,7.8,1009.5,30,0,16.1,6.9,14.8,21.0,Good
4660,20.9,28.9,11.1,1011.4,32,0,16.1,7.8,24.1,31.0,Good
4662,20.6,28.3,10,1015.5,29,0,16.1,8.1,24.1,27.0,Good
4663,19.8,26.7,10,1016.2,34,0,16.1,12.2,24.1,25.0,Good
4664,16.9,27.2,11.7,1011.4,49,0,16.1,14.1,27.8,20.0,Good
4668,15.8,17.8,12.8,1008.6,55,0,16.1,6.5,18.3,10.0,Good
4669,17.4,22.2,7.2,1014.1,46,0,16.1,7,22.2,28.0,Good
4670,17,23.3,10.6,1020.3,46,0,16.1,11.3,24.1,32.0,Good
4674,17,24.4,7.2,1019,35,0,16.1,9.8,22.2,20.0,Good
4675,20.2,27.2,7.2,1019.5,31,0,16.1,5.4,14.8,24.0,Good
4676,20.6,28.3,11.7,1022,34,0,16.1,4.1,11.1,40.0,Good
4680,24.4,30,14.4,1011.5,30,0,16.1,13.1,24.1,25.0,Good
4681,23.3,30,13.9,1010.6,35,0,16.1,6.1,11.1,41.0,Good
4682,22.4,30,13.9,1009.9,39,0,16.1,9.4,22.2,42.0,Good
4686,26.4,33.3,18.9,1002.7,34,0,16.1,10.6,18.3,33.0,Good
4687,26.3,33.3,20.6,1003.7,38,0,16.1,16.7,27.8,43.0,Good
4688,25.3,33.3,18.9,1007.5,47,0,11.3,8.7,24.1,156.0,Unhealthy
4693,22.3,29.4,14.4,1002.1,43,0,16.1,9.1,18.3,46.0,Good
4694,17.4,25.6,11.7,1000,49,0.51,15.8,8.9,31.7,39.0,Good
4695,16,22.2,11.7,1008.1,55,1.02,16.1,8.7,16.5,33.0,Good
4699,21.3,23.3,17.8,1007.6,37,0,16.1,2.2,7.6,80.0,Moderate
4700,16.7,22.8,10.6,1001.5,56,0,15.6,8.1,20.6,65.0,Moderate
4701,13.8,19.4,11.1,1008.3,76,4.83,16.1,6.7,13,17.0,Good
4705,21.3,27.8,11.7,1015.3,33,0,16.1,8,14.8,25.0,Good
4706,22.4,30.6,12.8,1017,39,0,15.6,5.7,22.2,51.0,Moderate
4707,23.1,30.6,13.3,1019.7,45,0,16.1,8.5,22.2,52.0,Moderate
4711,16.2,22.2,14.4,1018.3,81,13.21,9.3,8.3,22.2,17.0,Good
4712,14.5,17.8,12.2,1019.3,80,1.02,14.8,15.4,25.9,20.0,Good
4713,15.8,19.4,11.7,1019.6,66,1.02,16.1,13.3,25.9,15.0,Good
4717,18.9,23.9,14.4,1015.5,63,0.25,16.1,11.7,25.9,14.0,Good
4718,17.9,23.9,10.6,1018.6,54,0,16.1,7.8,20.6,24.0,Good
4719,19.4,25.6,11.7,1022.6,60,0,16.1,8.3,24.1,31.0,Good
4723,19.1,26.7,10.6,1020.8,55,0,16.1,8.3,20.6,48.0,Good
4725,20.9,28.3,12.8,1016.2,50,0,16.1,5.7,16.5,42.0,Good
4726,22.6,29.4,14.4,1010,44,0,16.1,5.9,16.5,39.0,Good
4727,20.8,28.3,13.9,1005.4,45,0,16.1,5.2,16.5,28.0,Good
4731,20.4,28.9,11.1,1008.3,44,0,16.1,5.6,9.4,56.0,Moderate
4732,20.7,28.3,13.3,1003.6,44,0,16.1,8.1,16.5,51.0,Moderate
4733,19.3,27.2,12.8,1003.7,46,0,13.5,5,13,95.0,Moderate
4737,17.9,24.4,11.7,1014.8,69,0,12.7,4.4,11.1,103.0,Unhealthy for Sensitive Groups
4738,18.5,25,11.7,1010.6,69,0,11.1,6.5,22.2,76.0,Moderate
4739,15.5,20.6,11.7,1010.3,74,0,15.6,4.8,16.5,48.0,Good
4743,15.6,21.1,10,1001.1,69,0,16.1,5.2,13,56.0,Moderate
4744,13.5,18.9,10,1004,79,5.59,11.6,7,13,23.0,Good
4745,10.8,16.7,8.3,1008.3,82,15.49,14.2,5.4,14.8,26.0,Good
4749,9.1,17.2,1.1,1012.4,55,0,16.1,9.8,20.6,30.0,Good
4750,11.2,18.9,1.1,1009.1,45,0,16.1,11.7,16.5,28.0,Good
4751,11.5,18.9,3.3,1008.9,49,0,16.1,10.6,16.5,38.0,Good
4755,8.9,14.4,5,1015.1,54,0.25,16.1,7.2,18.3,28.0,Good
4757,6.7,10.6,2.2,1012.7,60,0,16.1,4.8,11.1,25.0,Good
4758,9.9,15.6,2.2,1003.9,78,3.05,15.6,9.8,14.8,20.0,Good
4759,13.2,21.7,8.3,995,79,5.33,16.1,6.1,14.8,19.0,Good
4763,10.7,11.1,10.6,1000.3,81,-,15.1,10.4,16.5,25.0,Good
4764,10.7,12.8,6.1,1001,87,0.25,15,3.7,11.1,18.0,Good
4765,10.1,16.7,4.4,1008,82,5.33,13.7,6.1,14.8,21.0,Good
4769,9.3,16.7,3.3,1011.8,80,0,16.1,2.8,7.6,37.0,Good
4770,9.7,12.2,4.4,1014.7,84,1.02,14,3.7,14.8,40.0,Good
4771,5.4,12.8,-1.7,1018.9,71,1.52,16.1,3.9,13,38.0,Good
4775,0.9,5,-2.2,1006.3,76,1.52,16.1,5.9,13,33.0,Good
4776,-0.4,5,-4.4,1001.1,78,0,14,3.7,11.1,53.0,Moderate
4777,0.4,6.1,-4.4,989.2,63,0,16.1,5.7,11.1,28.0,Good
4781,5.3,13.9,-3.3,1004.6,58,0,16.1,10.4,16.5,26.0,Good
4782,6.3,13.9,0.6,1001.6,69,0,16.1,4.3,16.5,38.0,Good
4783,6.1,14.4,1.7,992.2,71,0.25,16.1,10,16.5,39.0,Good
4788,1.9,5.6,-0.6,1011.2,76,0,11.4,3.3,11.1,25.0,Good
4789,3.2,8.9,-0.6,1013.5,75,0,16.1,1.9,7.6,42.0,Good
4790,4.3,11.1,0,1009.6,70,0,16.1,3.3,9.4,33.0,Good
4794,1.6,6.7,-0.6,1007.7,84,0,10.1,3.3,13,19.0,Good
4795,3.8,10,-1.7,998.6,69,0.25,15.3,11.5,20.6,20.0,Good
4796,5.1,10,-1.7,987,73,0,14.2,9.3,20.6,10.0,Good
4800,6.7,12.2,-3.3,1003.1,57,0,16.1,10.2,16.5,125.0,Unhealthy for Sensitive Groups
4801,4.2,9.4,-1.1,1003.2,76,2.29,15.6,4.6,13,56.0,Moderate
4802,3.4,8.9,-1.1,1012.3,82,0,15.3,1.5,9.4,60.0,Moderate
4806,7.3,13.9,-0.6,998.2,54,0,16.1,9.4,18.3,58.0,Moderate
4807,3.7,13.9,-2.2,1002.5,72,0,16.1,5.4,20.6,100.0,Moderate
4808,0.4,8.3,-3.3,1013.2,80,0,16.1,3,7.6,98.0,Moderate
4812,0.3,6.1,-6.1,1008.3,63,0,16.1,6.3,13,53.0,Moderate
4813,-3.8,6.1,-8.9,1024.5,77,0,16.1,5,9.4,95.0,Moderate
4814,0.2,6.1,-8.9,1024,66,0,16.1,8.3,16.5,80.0,Moderate
4818,-3.3,0.6,-7.8,993,84,0,12.4,4.6,13,65.0,Moderate
4820,-2.7,-2,-3.9,1008.6,86,0.76,9.2,3.9,16.5,26.0,Good
4821,-3.6,-1.1,-7.8,1016.2,83,0,12.9,6.1,11.1,60.0,Moderate
4822,-6.9,-1.1,-10,1009.3,81,0,16.1,3.1,11.1,153.0,Unhealthy
4826,-15.7,-4.4,-20,1019.3,77,0,16.1,8.7,16.5,95.0,Moderate
4827,-18,-8.3,-22.2,1018.2,76,0,16.1,4.6,13,140.0,Unhealthy for Sensitive Groups
4828,-8.7,-4.4,-22.2,1019.1,78,0,11.9,5.2,11.1,52.0,Moderate
4832,-11.1,-7.2,-18.3,1018.8,81,0,10.5,5.7,11.1,32.0,Good
4833,0.6,7.2,-15,1005.3,76,15.75,8.4,24.6,50,20.0,Good
4834,-8.2,7.2,-18.3,1017.8,69,2.79,15.1,13,35.2,77.0,Moderate
4838,-18.2,-15.6,-27.2,1022.7,76,0.51,7.4,3.7,9.4,151.0,Unhealthy
4839,-31.2,-25,-34.4,1024.9,70,1.78,15.6,0.9,7.6,158.0,Unhealthy
4840,-33.7,-29.4,-36.1,1026.4,72,0,14.2,1.5,7.6,159.0,Unhealthy
4844,-13.4,-10,-22.8,1018.3,80,0,13,0.9,9.4,76.0,Moderate
4845,-15.5,-12.2,-17.2,1016.2,78,0.51,16.1,4.4,13,129.0,Unhealthy for Sensitive Groups
4846,-18.1,-11.7,-22.2,1017.6,77,0,11.6,1.1,9.4,65.0,Moderate
4851,-30.9,-22.2,-33.3,1042.2,68,0,14.3,2.6,7.6,154.0,Unhealthy
4852,-29.8,-27.2,-33.3,1043.2,66,0,15.9,0.9,9.4,161.0,Unhealthy
4853,-20.3,-14.4,-31.1,1040.6,71,0,15.1,0.2,5.4,133.0,Unhealthy for Sensitive Groups
4857,-3.8,-1.7,-9.4,1029.5,80,0,16.1,1.9,7.6,76.0,Moderate
4858,-4.2,-0.6,-8.9,1027.6,86,0,15.4,2.6,9.4,87.0,Moderate
4859,-0.6,0,-1,1025,92,-,1.3,0,-,40.0,Good
4863,-17.9,-15,-22.2,1009.9,55,0,14.6,25,37,55.0,Moderate
4864,-18.5,-16.1,-23.3,993.9,66,0,11.6,9.3,16.5,27.0,Good
4865,-19.4,-16.7,-21.7,998.2,72,1.27,6.8,4.6,13,47.0,Good
4869,-22.1,-16.1,-29.4,1012.4,74,0,14.5,2.8,9.4,121.0,Unhealthy for Sensitive Groups
4870,-17.4,-13.9,-28.3,1009.6,75,0.25,16.1,2,5.4,154.0,Unhealthy
4871,-15.1,-8.9,-21.1,1007,78,0,10.9,3.1,9.4,105.0,Unhealthy for Sensitive Groups
4875,-34.8,-31.7,-37.2,1019.4,81,0,13.8,0.2,5.4,186.0,Unhealthy
4876,-37.9,-33.9,-40.6,1020.4,-,0,8.4,1.3,5.4,174.0,Unhealthy
4877,-38.1,-35,-40.6,1022.7,-,0,2.1,1.3,7.6,187.0,Unhealthy
4881,-25.7,-21.7,-28.3,1009.1,70,0,16.1,4.4,9.4,178.0,Unhealthy
4882,-15.7,-7.2,-27.8,999.1,74,0,16.1,5.2,9.4,161.0,Unhealthy
4883,-17.4,-7.2,-23.9,1003,75,0,15.8,0.9,7.6,119.0,Unhealthy for Sensitive Groups
4884,-12.3,-8.9,-23.9,1020.8,76,0.25,15.6,4.1,13,121.0,Unhealthy for Sensitive Groups
4888,-14.4,-5,-20.6,1005.2,78,0,15.9,1.5,7.6,167.0,Unhealthy
4889,-11.7,-9.4,-20.6,998.2,80,0,15.9,1.1,5.4,127.0,Unhealthy for Sensitive Groups
4890,-13.4,-9.4,-16.7,994.9,77,0,15.3,0.7,5.4,77.0,Moderate
4894,-36.1,-22.8,-40.6,1000.3,-,0,8.9,0.9,5.4,159.0,Unhealthy
4895,-18.9,-15,-22.8,991,73,0,15,1.1,11.1,97.0,Moderate
4896,-20.1,-14.4,-26.7,1002.1,71,0.25,13.7,7.6,13,80.0,Moderate
4900,-13.6,-7.2,-18.9,1009,76,0.25,14.8,3.9,11.1,127.0,Unhealthy for Sensitive Groups
4901,-12.2,-7.2,-18.9,1012.6,78,0,16.1,3.7,11.1,114.0,Unhealthy for Sensitive Groups
4902,-4.3,2.2,-15.6,1004.1,74,0,16.1,5.2,14.8,93.0,Moderate
4906,-4,7.2,-7.2,1019.3,87,1.02,15.6,3.7,11.1,109.0,Unhealthy for Sensitive Groups
4907,-5,0,-7.2,1014.8,84,0,16.1,3.3,9.4,154.0,Unhealthy
4908,-6.8,0,-11.1,1014.6,84,0,15.4,2.2,11.1,169.0,Unhealthy
4912,-19.2,-13.9,-21.7,1026.7,74,0,11.1,0.7,7.6,175.0,Unhealthy
4914,-15.9,-9.4,-21.7,1030.9,76,0,14.8,0.4,5.4,93.0,Moderate
4915,-9.1,-6.7,-10.6,1036.5,81,0,15.9,0.2,7.6,75.0,Moderate
4916,-15.6,-5.6,-20.6,1036.5,78,0,15.8,4.6,13,112.0,Unhealthy for Sensitive Groups
4920,-10.7,-6.1,-15,1026.2,65,4.57,16.1,17.8,25.9,45.0,Good
4921,-21.4,-11.7,-27.8,1034.8,71,0,16.1,6.9,24.1,113.0,Unhealthy for Sensitive Groups
4922,-26.6,-20.6,-30.6,1037.2,73,0,16.1,0,-,170.0,Unhealthy
4926,-27.2,-20.6,-32.8,995.9,65,0,14.5,3.3,11.1,118.0,Unhealthy for Sensitive Groups
4927,-23.8,-17.2,-31.1,994.1,68,0,16.1,6.3,13,77.0,Moderate
4928,-20.6,-15,-31.1,988,65,0,14,7.4,14.8,53.0,Moderate
4932,-23.3,-14.4,-28.9,1002.4,71,0,16.1,8.9,16.5,64.0,Moderate
4933,-26.3,-19.4,-32.8,1015.9,68,0,16.1,3.7,13,166.0,Unhealthy
4934,-28,-17.2,-34.4,1026.3,68,0,16.1,0.7,7.6,154.0,Unhealthy
4938,-20.4,-8.9,-28.9,1021.6,66,0,16.1,1.1,7.6,156.0,Unhealthy
4939,-17.6,-3.9,-28.3,1019,67,0,16.1,2.2,13,145.0,Unhealthy for Sensitive Groups
4940,-10.8,0,-15.6,1012.2,62,0,16.1,5.6,14.8,116.0,Unhealthy for Sensitive Groups
4943,-11.7,0,-20,1021.3,65,0,16.1,0.4,5.4,104.0,Unhealthy for Sensitive Groups
4944,-14.8,-2.2,-22.2,1019.3,68,0,16.1,0.4,5.4,118.0,Unhealthy for Sensitive Groups
4945,-15.2,-2.8,-23.9,1016.4,71,0,16.1,1.1,9.4,135.0,Unhealthy for Sensitive Groups
4949,-18.3,-6.7,-27.8,1014.1,61,0,16.1,8.9,16.5,62.0,Moderate
4950,-15.8,-7.2,-22.8,1007.2,56,0,16.1,3.5,11.1,43.0,Good
4951,-17.8,-8.3,-29.4,998.5,46,0,16.1,12.8,24.1,54.0,Moderate
4955,-5.6,6.7,-18.3,996,53,0,16.1,8.9,20.6,52.0,Moderate
4956,-4.6,6.7,-15.6,989,57,0,16.1,6.5,13,43.0,Good
4957,-4.5,6.1,-12.2,995.6,59,0,16.1,9.6,22.2,34.0,Good
4961,-5.2,-0.6,-13.3,1022.3,62,0,11.4,10.6,25.9,45.0,Good
4962,-13.9,-2.8,-23.3,1033.9,65,0.25,16.1,6.5,18.3,73.0,Moderate
4963,-8.6,0.6,-23.3,1034,51,0,16.1,13.5,22.2,46.0,Good
4967,-3.8,6.1,-16.7,1022.1,36,0,16.1,13.3,27.8,26.0,Good
4968,-0.9,6.1,-15,1012.1,31,0,16.1,14.8,24.1,16.0,Good
4969,-5.7,6.1,-17.8,1012,45,0,16.1,4.3,14.8,59.0,Moderate
4973,-6.9,2.2,-18.3,1021.3,56,0,16.1,0.6,9.4,59.0,Moderate
4975,-2.7,4.4,-16.1,1019.2,46,0,16.1,10.6,16.5,36.0,Good
4976,-3.3,5,-13.9,1013.4,45,0,16.1,8.3,16.5,42.0,Good
4977,-4.2,3.3,-13.9,1008.9,48,0,16.1,3.7,11.1,38.0,Good
4981,-1.6,2.8,-3.3,999.4,84,2.54,4,5,20.6,8.0,Good
4982,-9,-1.1,-14.4,1000.1,62,2.54,10.6,13.5,24.1,25.0,Good
4983,-14.3,-5.6,-24.4,1011,58,0,16.1,5.7,18.3,62.0,Moderate
4987,0.3,10.6,-12.8,1014.7,45,0,16.1,2,11.1,54.0,Moderate
4988,2.3,11.7,-7.8,1013.3,55,0,16.1,2.8,11.1,30.0,Good
4989,4.8,11.1,-7.2,1010.7,48,0,16.1,7.2,14.8,29.0,Good
4993,5.2,12.2,-2.8,1002.3,55,0,16.1,4.1,13,16.0,Good
4994,6.4,11.7,-2.8,1005,49,0,16.1,17,24.1,21.0,Good
4995,7.3,13.9,2.2,1012.3,49,0,16.1,12,22.2,20.0,Good
4999,6.4,12.8,-0.6,1000.8,56,0,16.1,8,20.6,15.0,Good
5000,6.4,14.4,-1.7,998.6,49,0,16.1,7,16.5,25.0,Good
5001,9.2,16.1,-1.7,996.5,36,0,16.1,8.9,24.1,17.0,Good
5006,9.8,18.9,0.6,1033.8,-,0,16.1,3.5,14.8,43.0,Good
5007,14.5,22.2,0.6,1030.8,36,0,16.1,8.9,18.3,56.0,Moderate
5008,16.1,22.8,4.4,1019.3,32,0,16.1,10.9,22.2,39.0,Good
5012,9.3,13.9,0,1005.5,60,0,16.1,9.1,24.1,15.0,Good
5013,7.6,13.3,2.8,1011.1,52,0.25,16.1,7.8,25.9,23.0,Good
5014,7.8,14.4,-0.6,1016.5,45,0,16.1,5.4,20.6,21.0,Good
5018,13.3,22.8,2.8,1022.3,37,0,14.8,9.1,33.5,64.0,Moderate
5019,7.7,17.2,-0.6,1031.5,41,0,16.1,8.9,31.7,32.0,Good
5020,10.9,18.9,-0.6,1029.7,33,0,16.1,5,9.4,34.0,Good
5024,6.7,11.7,1.7,1015.6,47,0,16.1,12.4,25.9,3.0,Good
5025,8.3,14.4,1.7,1017.9,39,0,16.1,14.4,24.1,15.0,Good
5026,11.2,16.7,2.2,1014.4,29,0,16.1,11.9,25.9,12.0,Good
5030,13.2,18.9,6.1,1010,40,0,16.1,14.6,27.8,16.0,Good
5031,11.9,19.4,6.7,1013.4,50,0,16.1,8.7,22.2,46.0,Good
5032,14.9,21.1,6.7,1011.9,40,0,12.1,9.6,25.9,73.0,Moderate
5036,17.2,23.3,10,999.3,40,0,15.4,12.6,51.9,50.0,Good
5038,9.9,20.6,6.7,1015.4,54,0.51,15.4,16.3,37,16.0,Good
5039,11,15.6,6.7,1020.4,49,0,16.1,14.8,25.9,17.0,Good
5040,10.5,17.2,7.8,1024.4,74,1.02,15.6,5.2,11.1,8.0,Good
5044,16.3,23.9,8.3,1007.4,46,0.76,16.1,7.4,14.8,36.0,Good
5045,19.8,25,8.3,1001.5,33,0,16.1,12.4,25.9,12.0,Good
5046,15.1,23.3,11.1,1007.7,61,0,15.6,11.9,27.8,6.0,Good
5050,18.5,19.4,17.2,1010.6,24,0,16.1,11.5,16.5,18.0,Good
5051,16.7,22.2,8.3,1002.8,52,0.51,16.1,9.3,20.6,9.0,Good
5052,17.6,23.9,9.4,1006.9,40,0,16.1,6.7,13,22.0,Good
5056,11.8,16.1,10,1003.1,85,19.05,10.1,12,20.6,18.0,Good
5057,12.3,20.6,9.4,1009.5,78,20.83,13.5,7.4,13,6.0,Good
5058,17.7,22.2,9.4,1005.5,52,0.51,15.4,11.1,31.7,15.0,Good
5062,15.5,19.4,10,1005.7,73,0.25,13.5,6.1,14.8,38.0,Good
5063,13.1,17.8,10,999.1,84,25.15,8.4,7.6,16.5,4.0,Good
5064,12.8,16.1,8.9,1000.5,69,3.3,15.6,7.2,20.6,7.0,Good
5069,15,18.9,13.3,1015.2,82,5.84,10.1,7.2,13,15.0,Good
5070,13.5,17.8,12.2,1012.8,89,57.91,6.1,8.9,14.8,12.0,Good
5071,16.3,21.1,11.1,1011.8,73,21.84,16.1,2.8,9.4,11.0,Good
5075,20.4,30.6,14.4,1010.6,65,0.51,14.6,6.5,25.9,18.0,Good
5076,18.3,24.4,12.2,1011.8,63,28.19,16.1,5.4,16.5,5.0,Good
5077,19.6,24.4,12.2,1011.4,56,0,16.1,7.6,16.5,6.0,Good
5081,18.7,24.4,12.2,1013,52,2.03,16.1,10.9,25.9,18.0,Good
5082,16.1,22.8,11.1,1019.4,52,0,15.9,16.9,40.7,4.0,Good
5083,12.6,18.9,11.1,1019.4,85,12.95,6.4,16.5,29.4,4.0,Good
5087,14.3,20.6,11.7,1003.6,69,0,15.3,12.6,29.4,13.0,Good
5088,11.8,16.7,8.9,1006.7,65,0.76,16.1,8.9,18.3,4.0,Good
5089,11.6,16.7,5.6,1016.6,68,0,16.1,5,16.5,10.0,Good
5093,11.1,15,8.9,1009.3,83,5.33,14.3,8.1,13,9.0,Good
5094,11.6,17.2,3.9,1014,60,2.54,16.1,6.5,22.2,7.0,Good
5095,12.9,17.8,3.9,1016.3,54,0,16.1,6.7,14.8,8.0,Good
5099,16.8,23.9,8.3,1022.2,56,0,16.1,4.4,11.1,26.0,Good
5101,17.9,24.4,11.1,1018.4,67,0,11.9,7.4,16.5,4.0,Good
5102,15,20.6,13.9,1015.4,89,23.62,5.5,11.3,16.5,5.0,Good
5103,17,22.2,13.9,1014.2,78,2.79,16.1,6.1,16.5,23.0,Good
5109,18.1,26.1,8.9,1003.5,49,0,16.1,9.3,20.6,22.0,Good
5113,17.3,25,11.1,1002.6,62,1.78,16.1,6.9,14.8,17.0,Good
5115,17.6,25.6,11.7,1000.6,60,0,16.1,5.7,16.5,14.0,Good
5119,15.3,18.9,11.7,1013.7,73,0.51,16.1,10.9,22.2,13.0,Good
5120,14,20,7.8,1017,74,0,16.1,3.5,14.8,20.0,Good
5121,14.6,20,7.8,1021.6,70,0,14.8,5.6,22.2,18.0,Good
5125,15.5,23.3,7.2,1002.5,69,0.51,15.8,4.8,16.5,17.0,Good
5126,13.6,18.3,11.1,1005.4,75,2.79,13.8,6.5,13,10.0,Good
5127,13.8,18.9,10.6,1009.6,74,3.56,15.9,8,18.3,16.0,Good
5131,6.9,12.8,0.6,1006.8,57,0,16.1,6.1,14.8,38.0,Good
5133,6.1,11.1,1.1,1010.4,68,0,15.8,4.3,22.2,17.0,Good
5134,8.1,10.6,1.7,1006.5,80,50.29,9.7,16.3,25.9,12.0,Good
5135,6.8,10.6,2.8,1015.4,63,6.6,16.1,10.7,24.1,22.0,Good
5139,7.2,15.6,0.6,1019.6,45,0,16.1,9.8,20.6,24.0,Good
5140,11.5,15,5.6,1017.4,43,0,16.1,3.7,7.6,31.0,Good
5141,10,18.3,1.1,1016.1,58,0,16.1,4.3,11.1,41.0,Good
5145,16.6,23.3,3.9,1003.7,54,0,16.1,9.4,16.5,45.0,Good
5146,16.2,24.4,10.6,1002.5,64,0,16.1,4.1,11.1,59.0,Moderate
5147,13.4,24.4,5.6,1000.2,59,0,16.1,5.6,16.5,35.0,Good
5151,11.1,18.9,2.2,986.5,52,0,16.1,5.2,14.8,20.0,Good
5152,10.4,17.2,2.8,996.8,74,0,13.2,1.9,7.6,13.0,Good
5153,7.8,11.7,5.6,1002.5,85,10.67,13.2,7.6,18.3,9.0,Good
5157,0.7,8.3,-3.9,1019.4,76,0,16.1,3.5,13,40.0,Good
5158,2.9,13.3,-3.9,1016.3,55,0,16.1,9.3,20.6,37.0,Good
5159,4.4,13.3,-2.8,1010.7,49,0,16.1,8.7,16.5,54.0,Moderate
5164,1.7,3.9,-1.7,1025.5,75,2.29,16.1,4.4,9.4,52.0,Moderate
