,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
3588,14.8,21.7,10.6,1013.5,73,2.54,15.9,6.3,14.8,18.0,Good
3589,17.2,22.2,11.1,1012.5,60,0,16.1,4.8,14.8,13.0,Good
3590,15.4,22.8,11.1,1012.7,74,7.37,13.5,5.9,16.5,10.0,Good
3594,19.4,27.2,12.2,1010.5,55,0,16.1,3.1,11.1,27.0,Good
3598,20.6,27.8,12.2,1023,59,0,15.3,4.6,16.5,42.0,Good
3602,15.7,20.6,11.1,1001.9,68,0.25,15.9,12.2,20.6,14.0,Good
3603,14.7,22.2,10,1006.2,78,1.52,15.3,4.3,16.5,27.0,Good
3604,17.2,22.8,10.6,1001.1,62,0,16.1,6.1,16.5,13.0,Good
3608,13.7,19.4,10,1023.1,82,4.32,11.3,2.8,9.4,28.0,Good
3609,16.4,25,11.1,1021.6,63,0,16.1,6.1,11.1,14.0,Good
3610,22,32.8,11.7,1013.3,52,0,16.1,10.2,20.6,23.0,Good
3614,11.8,15.6,8,1014.6,73,0.51,15.4,11.9,25.9,14.0,Good
3615,12.1,18.3,7.8,1015.2,73,0,16.1,2.2,9.4,41.0,Good
3616,13.2,20.6,4.4,1011.3,61,0,15.8,4.4,11.1,25.0,Good
3620,13.2,20.6,5,1017.8,69,1.78,15.4,9.1,22.2,14.0,Good
3621,12.2,17.8,5,1012.8,62,0,16.1,6.3,16.5,13.0,Good
3622,11.6,18.9,4.4,1008.4,61,0,16.1,5.7,14.8,28.0,Good
3626,12.1,18.3,5.6,1006.5,81,3.56,13.4,3.5,11.1,15.0,Good
3628,11.9,19.4,5.6,1006.3,74,0.25,16.1,3.5,22.2,17.0,Good
3629,12.7,17.2,7.2,1008.1,70,0,16.1,3.5,14.8,32.0,Good
3630,8.8,18.3,2.8,1012.8,79,0,12.6,3.7,20.6,30.0,Good
3634,13.6,18.9,10,1012.3,74,0,16.1,7.6,13,9.0,Good
3635,12.6,16.1,10,1010.4,92,26.42,8.9,3.5,9.4,9.0,Good
3636,12.2,20,10,1008.4,85,1.78,15.3,7.8,22.2,13.0,Good
3640,10.5,20,2.8,1024.6,67,0,16.1,0.7,7.6,22.0,Good
3641,10.6,21.1,2.8,1023.4,65,0,16.1,1.5,9.4,36.0,Good
3642,10.3,20.6,1.7,1021.7,67,0,16.1,1.7,9.4,25.0,Good
3646,10.4,18.3,2.8,1019.6,61,0,16.1,7.8,16.5,33.0,Good
3647,9.9,18.3,1.1,1013.3,53,0,16.1,7,14.8,31.0,Good
3648,8.8,18.3,0.6,1009.7,53,0,16.1,4.1,11.1,22.0,Good
3652,0.4,6.1,-5,998,42,0,16.1,15.2,33.5,11.0,Good
